00:1A:1E:35:7E:60,00:1A:1E:35:7E:61,00:1A:1E:35:7E:62,00:1A:1E:35:7E:63,00:1A:1E:35:7E:64,00:1A:1E:35:7E:C0,00:1A:1E:35:7E:C1,00:1A:1E:35:7E:C2,00:1A:1E:35:7E:C3,00:1A:1E:35:7E:C4,00:1A:1E:35:81:00,00:1A:1E:35:81:01,00:1A:1E:35:81:02,00:1A:1E:35:81:03,00:1A:1E:35:81:04,00:1A:1E:35:9D:60,00:1A:1E:35:9D:61,00:1A:1E:35:9D:62,00:1A:1E:35:9D:63,00:1A:1E:35:9D:65,00:1A:1E:35:9F:00,00:1A:1E:35:9F:01,00:1A:1E:35:9F:02,00:1A:1E:35:9F:03,00:1A:1E:35:9F:04,00:24:6C:60:5C:A0,00:24:6C:60:5C:A1,00:24:6C:60:5C:A2,00:24:6C:60:5C:A3,00:24:6C:60:5C:A5,00:24:6C:93:E1:20,00:24:6C:93:E1:21,00:24:6C:93:E1:22,00:24:6C:93:E1:23,00:24:6C:93:E1:24,00:24:6C:94:8D:50,00:24:6C:94:8D:51,00:24:6C:94:8D:52,00:24:6C:94:8D:53,00:24:6C:94:8D:55,00:24:6C:94:91:50,00:24:6C:94:91:51,00:24:6C:94:91:52,00:24:6C:94:91:53,00:24:6C:94:91:55,00:24:6C:94:91:80,00:24:6C:94:91:81,00:24:6C:94:91:82,00:24:6C:94:91:83,00:24:6C:94:91:84,00:24:6C:96:4C:D0,00:24:6C:96:4C:D1,00:24:6C:96:4C:D2,00:24:6C:96:4C:D3,00:24:6C:96:B0:50,00:24:6C:96:B0:51,00:24:6C:96:B0:52,00:24:6C:96:B0:53,00:24:6C:96:B0:55,00:24:6C:96:B0:90,00:24:6C:96:B0:91,00:24:6C:96:B0:92,00:24:6C:96:B0:93,00:24:6C:96:B0:95,00:24:6C:96:B0:E0,00:24:6C:96:B0:E1,00:24:6C:96:B0:E2,00:24:6C:96:B0:E3,00:24:6C:96:B0:E4,00:C0:CA:26:71:01,00:C0:CA:26:71:02,00:C0:CA:26:71:03,08:BD:43:66:65:A8,64:66:B3:40:22:A0,7C:0E:CE:5F:DC:F0,7C:0E:CE:5F:DC:F1,C2:46:19:87:F9:21,C8:3A:35:0A:E9:78,C8:3A:35:47:75:A8,C8:3A:35:4E:DC:18,C8:3A:35:5D:4E:48,D6:9C:26:27:D9:BB,location
0,0,0,0,0,0,0,0,0,0,-62,-62,-61,-63,-61,-39,-38,-37,-37,-37,0,0,0,0,0,-70,-69,-71,-69,-70,0,0,0,0,0,-76,-77,-75,-73,-74,0,0,0,0,0,-89,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,-77,-75,-76,-85,0,0,0,0,0,-85,0,0,-76,0,0,0,0,0,-88,0,0,0,C1
-88,0,0,0,-89,-88,0,0,0,0,-63,-62,-62,-62,-62,-37,-37,-37,-37,-37,0,0,0,0,0,-67,-69,-68,-70,-71,0,0,0,0,0,0,-87,-86,-86,-85,-72,-73,-73,-73,-73,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-85,0,-87,-87,0,0,0,0,0,-75,-81,0,0,0,0,0,0,0,0,0,0,-81,C1
0,0,0,0,0,-88,-87,0,0,0,-61,-63,-66,-63,-63,-31,-30,-31,-30,-31,0,0,0,0,0,-69,-69,-69,-69,-69,0,0,0,0,0,-64,-63,-64,-63,-64,0,0,-94,-88,0,-94,0,-91,-89,-89,0,0,0,0,0,0,0,0,0,-87,-85,-86,-86,-85,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,-91,0,0,0,C1
0,0,0,0,0,-83,0,0,0,-88,-60,-60,-60,-61,-60,-38,-39,-39,-38,-38,0,0,0,0,0,-74,-71,-71,-73,-73,0,0,0,0,0,-77,0,-77,-75,-79,-79,-78,-78,-78,-78,0,-88,-88,-90,-88,0,0,0,0,0,0,0,0,0,-76,-84,-76,-84,-85,0,0,0,0,0,0,-79,0,-91,0,0,0,0,-87,0,0,0,0,C1
0,0,0,0,0,0,-91,-90,0,-90,-69,-70,-69,-71,-72,-39,-39,-38,-38,-38,0,0,0,0,0,-73,-75,-73,-72,-72,0,0,0,0,0,-61,-63,-65,-64,-65,0,0,0,0,0,0,0,-86,-85,-88,0,0,0,0,0,0,0,0,0,-82,-83,-81,-83,-84,0,0,0,0,0,0,-90,0,-83,0,0,0,0,0,0,0,0,0,C1
0,0,0,0,0,0,0,0,0,0,-72,-73,-72,-72,-72,-45,-46,-46,-46,-46,0,0,0,0,0,-73,-69,-72,-71,-70,0,0,0,0,0,0,0,-80,-78,-81,-83,0,-77,-78,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,-87,0,-82,-89,0,0,C1
0,0,0,0,0,-88,-89,-84,-82,-86,-54,-54,-55,-55,-55,-39,-37,-39,-38,-37,0,0,0,0,0,-72,-72,0,-73,-73,0,0,0,0,0,-77,-74,-75,-76,-75,-78,-78,-77,-79,-78,-85,-86,-83,-85,-83,0,0,0,0,0,0,0,0,0,-81,-85,-81,-81,-81,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-93,C1
0,0,0,0,0,-83,0,0,0,-88,-60,-60,-60,-61,-60,-38,-39,-39,-38,-38,0,0,0,0,0,-74,-71,-71,-73,-73,0,0,0,0,0,-77,0,-77,-75,-79,-79,-78,-78,-78,-78,0,-88,-88,-90,-88,0,0,0,0,0,0,0,0,0,-76,-84,-76,-84,-85,0,0,0,0,0,0,-79,0,-91,0,0,0,0,-87,0,0,0,0,C1
0,0,0,0,0,0,0,0,0,0,-62,-62,-61,-63,-61,-39,-38,-37,-37,-37,0,0,0,0,0,-70,-69,-71,-69,-70,0,0,0,0,0,-76,-77,-75,-73,-74,0,0,0,0,0,-89,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,-77,-75,-76,-85,0,0,0,0,0,-85,0,0,-76,0,0,0,0,0,-88,0,0,0,C1
0,0,0,0,0,0,0,0,0,0,-61,-62,-61,-61,-61,-32,-32,-32,-31,-32,0,0,0,0,0,-74,-74,-73,-75,-73,0,0,0,0,0,-71,-69,-69,-68,-68,-71,-74,-74,-71,-72,-85,-90,-84,-87,-88,0,0,0,0,0,0,0,0,0,-78,-82,-82,-79,-81,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,C1
