00:1A:1E:35:7E:60,00:1A:1E:35:7E:61,00:1A:1E:35:7E:62,00:1A:1E:35:7E:63,00:1A:1E:35:7E:64,00:1A:1E:35:7E:C0,00:1A:1E:35:7E:C1,00:1A:1E:35:7E:C2,00:1A:1E:35:7E:C3,00:1A:1E:35:7E:C4,00:1A:1E:35:81:00,00:1A:1E:35:81:01,00:1A:1E:35:81:02,00:1A:1E:35:81:03,00:1A:1E:35:81:04,00:1A:1E:35:9D:60,00:1A:1E:35:9D:61,00:1A:1E:35:9D:62,00:1A:1E:35:9D:63,00:1A:1E:35:9D:65,00:1A:1E:35:9F:00,00:1A:1E:35:9F:01,00:1A:1E:35:9F:02,00:1A:1E:35:9F:03,00:1A:1E:35:9F:04,00:24:6C:60:5C:A0,00:24:6C:60:5C:A1,00:24:6C:60:5C:A2,00:24:6C:60:5C:A3,00:24:6C:60:5C:A5,00:24:6C:93:E1:20,00:24:6C:93:E1:21,00:24:6C:93:E1:22,00:24:6C:93:E1:23,00:24:6C:93:E1:24,00:24:6C:94:8D:50,00:24:6C:94:8D:51,00:24:6C:94:8D:52,00:24:6C:94:8D:53,00:24:6C:94:8D:55,00:24:6C:94:91:50,00:24:6C:94:91:51,00:24:6C:94:91:52,00:24:6C:94:91:53,00:24:6C:94:91:55,00:24:6C:94:91:80,00:24:6C:94:91:81,00:24:6C:94:91:82,00:24:6C:94:91:83,00:24:6C:94:91:84,00:24:6C:96:4C:D0,00:24:6C:96:4C:D1,00:24:6C:96:4C:D2,00:24:6C:96:4C:D3,00:24:6C:96:B0:50,00:24:6C:96:B0:51,00:24:6C:96:B0:52,00:24:6C:96:B0:53,00:24:6C:96:B0:55,00:24:6C:96:B0:90,00:24:6C:96:B0:91,00:24:6C:96:B0:92,00:24:6C:96:B0:93,00:24:6C:96:B0:95,00:24:6C:96:B0:E0,00:24:6C:96:B0:E1,00:24:6C:96:B0:E2,00:24:6C:96:B0:E3,00:24:6C:96:B0:E4,00:C0:CA:26:71:01,00:C0:CA:26:71:02,00:C0:CA:26:71:03,08:BD:43:66:65:A8,64:66:B3:40:22:A0,7C:0E:CE:5F:DC:F0,7C:0E:CE:5F:DC:F1,C2:46:19:87:F9:21,C8:3A:35:0A:E9:78,C8:3A:35:47:75:A8,C8:3A:35:4E:DC:18,C8:3A:35:5D:4E:48,D6:9C:26:27:D9:BB,location
0,-88,0,0,0,-65,-63,-67,0,-64,-82,-80,-82,-85,-85,-56,-55,-55,-55,-56,0,0,0,0,0,-56,-51,-53,-53,-54,0,0,0,0,0,-53,-53,-54,-54,-54,-80,-80,-78,-80,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,-66,-69,0,0,0,0,0,0,0,0,0,-88,0,0,-91,0,0,0,0,0,C6
0,0,0,0,0,-71,-71,-70,-73,-73,0,0,0,0,0,-74,-78,-76,-73,-73,0,0,0,0,0,-44,-45,-44,-44,-45,0,0,0,0,0,-76,0,-75,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,-83,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8
0,0,0,0,0,-81,-81,-81,-83,-82,-55,-58,-59,-62,-60,-32,-33,-32,-32,-32,0,0,0,0,0,-61,-65,-61,-61,-58,0,0,0,0,0,-67,-71,0,-68,-66,-74,-74,-73,-72,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-79,-88,-80,-88,0,0,0,0,0,-72,-83,0,-88,0,0,0,0,0,0,0,0,0,C1
0,0,0,-81,-81,-77,-77,-80,-80,-82,-80,-82,-82,-80,-81,-68,-69,-71,-68,-70,0,0,0,0,0,-72,-68,-72,-72,-70,0,0,0,0,0,-45,-46,-46,-45,-46,-73,-73,-73,-71,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,-67,-71,-69,-69,0,0,0,0,0,-79,-87,0,0,-82,0,-89,0,0,0,0,0,0,C6
0,0,0,0,0,-74,-82,-76,-74,-79,-78,-77,-77,-80,-76,-58,-58,-59,-57,-58,0,0,0,0,0,-64,-63,-63,-64,-67,0,0,0,0,0,-43,-42,-42,-41,-42,-70,-70,-70,-71,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-82,-84,-74,-76,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,C6
0,0,0,0,0,-77,0,-80,-78,-79,0,0,0,0,0,-78,-81,-81,-79,-80,0,0,0,0,0,-55,-51,-52,-50,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-78,-77,-76,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8
-84,-90,0,0,0,-73,-72,-74,-75,-74,-79,-79,-80,-80,-79,-55,-56,-56,-57,-57,0,0,0,0,0,-59,-61,-60,-56,-60,0,0,0,0,0,-56,-57,-56,-55,-56,-75,-75,-73,-73,-73,0,0,0,0,0,0,0,0,0,-87,0,-88,0,0,-51,-51,-52,-51,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C7
-93,-90,0,0,0,-55,-57,-56,-57,-59,-82,-83,-82,-82,-82,-53,-54,-52,-51,-53,0,0,0,0,0,-53,-54,-55,-56,-53,0,0,0,0,0,-71,0,-65,-65,-66,-92,-93,-91,-91,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-53,-51,-53,-52,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C7
0,0,0,0,0,-85,-83,-83,0,-85,-73,-74,-78,-71,-75,-45,-46,-46,-44,-45,0,0,0,0,0,-70,-70,-71,-69,-71,0,0,0,0,0,-77,0,-86,-78,-76,-70,-74,-75,-74,-72,-80,-80,-80,-78,-82,0,0,0,0,0,0,0,0,0,0,0,-85,-85,0,0,0,0,0,0,-65,-74,0,0,0,0,0,0,0,-79,-90,0,0,C1
0,0,0,0,0,-57,-62,-61,-61,-60,0,-83,-81,-82,-80,-51,-52,-52,-52,-51,0,0,0,0,0,-48,-47,-48,-45,-46,0,0,0,0,0,-48,-49,-54,-53,-53,-69,-69,-71,-71,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,-65,-68,-65,-65,0,0,0,0,0,-82,-95,0,0,0,0,0,0,0,0,0,-90,0,C6
0,0,-90,-91,-89,-64,-62,-65,-64,0,-73,-73,-75,-74,-74,-63,-63,-62,-61,-62,0,0,0,0,0,-50,-49,-52,-49,-50,0,0,0,0,0,-55,-48,-48,-49,-49,-85,-82,-83,-76,-83,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,-73,-69,-71,-69,-71,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,C6
0,-76,-77,-76,-76,-73,-77,-77,-74,-72,-77,-79,-75,-77,-77,-46,-46,-47,-47,-47,0,0,0,0,0,-52,-51,-55,-55,-55,0,0,0,0,0,-45,-45,-58,-57,-57,-70,-70,-69,-62,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-76,-78,-80,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,0,C4
0,0,-78,-75,-74,-62,-62,-63,-63,-63,-80,-83,-80,-79,-79,-60,-61,-60,-59,-61,0,0,0,0,0,-49,-51,-50,-49,-49,0,0,0,-89,-90,-42,-41,-42,-40,-39,-71,-71,-74,-72,-72,0,0,0,0,0,0,0,0,0,-84,-85,-87,-84,-84,-59,-61,-65,-65,-63,0,0,0,0,0,-88,0,0,0,-87,-95,-93,0,0,0,0,0,0,C6
0,0,0,0,0,-77,0,-80,-78,-79,0,0,0,0,0,-78,-81,-81,-79,-80,0,0,0,0,0,-55,-51,-52,-50,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-78,-77,-76,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8
